,flops,loss,params,tokens
33,7114457088000000.0,0.9507848024368286,[2000000],[800000000]
34,7499022336000000.0,0.9379383325576782,[2000000],[800000000]
37,9037283328000000.0,0.9331983327865601,[2000000],[800000000]
39,3071803392000000.0,1.0261377096176147,[2000000],[400000000]
40,3169320960000000.0,1.0240087509155273,[2000000],[400000000]
42,3364356096000000.0,1.0061590671539307,[2000000],[400000000]
43,3461873664000000.0,1.0048885345458984,[2000000],[400000000]
44,3559391232000000.0,0.9983276724815369,[2000000],[400000000]
45,3656908800000000.0,0.9919143915176392,[2000000],[400000000]
46,3754426368000000.0,0.9840871095657349,[2000000],[400000000]
47,3851943936000000.0,0.9802573323249817,[2000000],[400000000]
48,3949461504000000.0,0.9773125648498535,[2000000],[400000000]
50,4120117248000000.0,0.96871018409729,[2000000],[400000000]
51,4217634816000000.0,0.9635186791419983,[2000000],[400000000]
52,4315152384000000.0,0.9582502245903015,[2000000],[400000000]
54,4510187520000000.0,0.9555986523628235,[2000000],[400000000]
55,4607705088000000.0,0.9545217752456665,[2000000],[400000000]
56,4705222656000000.0,0.9539749622344971,[2000000],[400000000]
57,4778360832000000.0,0.9536085724830627,[2000000],[400000000]
58,3016949760000000.0,1.0617049932479858,[5000000],[200000000]
122,3010854912000000.0,1.116783857345581,[13000000],[400000000]
261,1.6875454464e+17,0.8640665411949158,[30000000],[1000000000]
262,1.7236426752e+17,0.8639582395553589,[30000000],[1000000000]
263,1.759739904e+17,0.8624085783958435,[30000000],[1000000000]
305,6.691356672e+16,0.8711371421813965,[13000000],[1000000000]
306,6.8488003584e+16,0.8698427677154541,[13000000],[1000000000]
309,7.3211314176e+16,0.8687711358070374,[13000000],[1000000000]
311,7.6360187904e+16,0.867891252040863,[13000000],[1000000000]
357,3.2254230528e+17,0.85828697681427,[30000000],[2000000000]
358,3.2974995456e+17,0.8568847179412842,[30000000],[2000000000]
359,3.3695760384e+17,0.8539075255393982,[30000000],[2000000000]
360,3.4416525312e+17,0.8525992035865784,[30000000],[2000000000]
408,8.8077238272e+17,0.8446956276893616,[80000000],[2000000000]
409,9.0002423808e+17,0.8405841588973999,[80000000],[2000000000]
410,9.1927609344e+17,0.8343193531036377,[80000000],[2000000000]
412,9.5777980416e+17,0.8339625597000122,[80000000],[2000000000]
457,4.3076026368e+17,0.8511075973510742,[80000000],[1000000000]
459,4.5001211904e+17,0.8499073386192322,[80000000],[1000000000]
461,4.692639744e+17,0.8497810363769531,[80000000],[1000000000]
704,1.351139328e+17,0.8669760823249817,[30000000],[800000000]
705,1.380040704e+17,0.8664928078651428,[30000000],[800000000]
707,1.437843456e+17,0.866238534450531,[30000000],[800000000]
753,1.46253938688e+17,0.865979790687561,[13000000],[2000000000]
756,1.55639218176e+17,0.8659757971763611,[13000000],[2000000000]
792,4.542234624e+16,0.8804890513420105,[5000000],[2000000000]
793,4.66255872e+16,0.8793043494224548,[5000000],[2000000000]
797,5.143855104e+16,0.8783484697341919,[5000000],[2000000000]
798,5.2641792e+16,0.8760061860084534,[5000000],[2000000000]
799,5.384503296e+16,0.8759440779685974,[5000000],[2000000000]
800,5.504827392e+16,0.8728628158569336,[5000000],[2000000000]
847,2.872737792e+16,0.8824467062950134,[5000000],[1000000000]
848,2.93289984e+16,0.8821077942848206,[5000000],[1000000000]
981,3243442176000000.0,1.010666012763977,[2000000],[2000000000]
1015,1.9580780544e+16,0.8973706960678101,[2000000],[2000000000]
1016,2.0061290496e+16,0.8942842483520508,[2000000],[2000000000]
1017,2.0541800448e+16,0.8910083770751953,[2000000],[2000000000]
1018,2.10223104e+16,0.890044093132019,[2000000],[2000000000]
1019,2.1502820352e+16,0.8872956037521362,[2000000],[2000000000]
1020,2.1983330304e+16,0.8839353919029236,[2000000],[2000000000]
1024,2.3905370112e+16,0.8835718035697937,[2000000],[2000000000]
1025,3068264448000000.0,1.0356229543685913,[2000000],[1000000000]
1048,8603172864000000.0,0.9365904331207275,[2000000],[1000000000]
1049,8843821056000000.0,0.9350854754447937,[2000000],[1000000000]
1050,9084469248000000.0,0.9262470006942749,[2000000],[1000000000]
1051,9325117440000000.0,0.9223887324333191,[2000000],[1000000000]
1052,9565765632000000.0,0.921816349029541,[2000000],[1000000000]
1053,9806413824000000.0,0.9171899557113647,[2000000],[1000000000]
1054,1.0047062016e+16,0.9124656915664673,[2000000],[1000000000]
1055,1.0287710208e+16,0.911620557308197,[2000000],[1000000000]
1056,1.05283584e+16,0.9041122794151306,[2000000],[1000000000]
1057,1.0769006592e+16,0.901945173740387,[2000000],[1000000000]
1058,1.1009654784e+16,0.9016605615615845,[2000000],[1000000000]
1059,1.1250302976e+16,0.9002540111541748,[2000000],[1000000000]
1060,1.1490951168e+16,0.8997287750244141,[2000000],[1000000000]
1061,1.173159936e+16,0.8992906212806702,[2000000],[1000000000]
